subject	relation	object	time_step	datetime
UNITED STATES	020 Appeal, not specified below	GOVERNMENT	18765	2018-01-14 00:45
A US	042 Make a visit	BOEING	7665	2018-01-06 07:45
NORTH KOREA	190 Use conventional military force, not specified below	UNITED STATES	34260	2018-01-24 19:00
STATE GOVERNOR	040 Consult, not specified below	NIGERIA	10365	2018-01-08 04:45
TRADE MINIST	040 Consult, not specified below	QATARI	33810	2018-01-24 11:30
REUTERS	010 Make statement, not specified below	PANAMA	25965	2018-01-19 00:45
AFGHANISTAN	050 Engage in diplomatic cooperation, not specified below	PAKISTAN	6690	2018-01-05 15:30
FLORIDA	040 Consult, not specified below	NAVY	12405	2018-01-09 14:45
ISRAEL	190 Use conventional military force, not specified below	SYRIA	3075	2018-01-03 03:15
ALBERT	010 Make statement, not specified below	UNITED STATES	27240	2018-01-19 22:00
ISLAMIC	111 Criticize or denounce 	BAGHDAD	21825	2018-01-16 03:45
HAITI	020 Appeal, not specified below	EL SALVADOR	16575	2018-01-12 12:15
MEXICAN	043 Host a visit	MEXICO	24330	2018-01-17 21:30
UNITED STATES	040 Consult, not specified below	COMMUNITY	5235	2018-01-04 15:15
PALESTINIAN	141 Demonstrate or rally	THE US	30810	2018-01-22 09:30
NIGERIA	173 Arrest, detain, or charge with legal action 	GOVERNMENT	23040	2018-01-17 00:00
KIEV	051 Praise or endorse	INTERNATIONAL MONETARY FUND	6015	2018-01-05 04:15
IROQUOIS	010 Make statement, not specified below	HEALTH DEPARTMENT	13665	2018-01-10 11:45
MINISTRY	051 Praise or endorse	MARYLAND	4395	2018-01-04 01:15
ECONOMIST	190 Use conventional military force, not specified below	SAUDI	32520	2018-01-23 14:00
MEDIA	010 Make statement, not specified below	UNITED STATES	7545	2018-01-06 05:45
GOVERNMENT	046 Engage in negotiation	NIGER	13125	2018-01-10 02:45
NEW DELHI	043 Host a visit	ISRAELI	20685	2018-01-15 08:45
ASSOCIATED PRESS	1041 Demand change in leadership	MISSOURI	22965	2018-01-16 22:45
IRANIAN	111 Criticize or denounce 	UNITED STATES	7020	2018-01-05 21:00
IRAN	073 Provide humanitarian aid	TANKER	20025	2018-01-14 21:45
SUPERIOR COURT	016 Deny responsibility	CRIMINAL	4725	2018-01-04 06:45
UKRAINE	010 Make statement, not specified below	DETAINEE	11325	2018-01-08 20:45
LAWMAKER	020 Appeal, not specified below	SCHOOL	34245	2018-01-24 18:45
EGYPT	046 Engage in negotiation	EGYPTIAN	20760	2018-01-15 10:00
ADMIRAL	020 Appeal, not specified below	NORTH KOREA	15795	2018-01-11 23:15
AUSTRIA	043 Host a visit	EUROPEAN COMMISSION	1965	2018-01-02 08:45
NEW YORK	173 Arrest, detain, or charge with legal action 	TRINIDAD AND TOBAGO	18480	2018-01-13 20:00
NEW YORK CITY	040 Consult, not specified below	DEALER	3135	2018-01-03 04:15
POLICE	030 Express intent to cooperate, not specified below	TRADER	17385	2018-01-13 01:45
INDIGENOUS PEOPLE	042 Make a visit	CHILE	22590	2018-01-16 16:30
MALAYSIAN	020 Appeal, not specified below	MALAYSIA	16665	2018-01-12 13:45
BRITAIN	010 Make statement, not specified below	UNITED KINGDOM	11790	2018-01-09 04:30
VILLAGE	080 Yield, not specified below 	SCHOOL	17070	2018-01-12 20:30
CITIZEN	173 Arrest, detain, or charge with legal action 	SARAWAK	4320	2018-01-04 00:00
INVESTOR	060 Engage in material cooperation, not specified below	MALAYSIA	16695	2018-01-12 14:15
UNITED STATES	020 Appeal, not specified below	MONTANA	11415	2018-01-08 22:15
NEW YORK	186 Assassinate 	GOVERNMENT	2085	2018-01-02 10:45
COLUMBUS	042 Make a visit	BAHAMA	14730	2018-01-11 05:30
COMPANY	042 Make a visit	COLLEGE	5085	2018-01-04 12:45
ANKARA	111 Criticize or denounce 	THE US	30945	2018-01-22 11:45
CANADA	090 Investigate, not specified below	POLICE	27525	2018-01-20 02:45
FREEDOM FIGHTER	140 Engage in political dissent, not specified below	ISRAELI	15360	2018-01-11 16:00
UNITED STATES	046 Engage in negotiation	CANADA	33405	2018-01-24 04:45
ST. LOUIS	081 Ease administrative sanctions, not specified below	CRIMINAL	6975	2018-01-05 20:15
SAINT	190 Use conventional military force, not specified below	CARGO SHIP	6660	2018-01-05 15:00
AFGHANISTAN	190 Use conventional military force, not specified below	AFGHAN	2535	2018-01-02 18:15
BRITAIN	036 Express intent to meet or negotiate	TRADE UNION	13725	2018-01-10 12:45
GREECE	130 Threaten, not specified below	LAWMAKER	21555	2018-01-15 23:15
POLICE	193 Fight with small arms and light weapons	TEXAS	30105	2018-01-21 21:45
KABUL	046 Engage in negotiation	TALIBAN	6705	2018-01-05 15:45
SECURITY PERSONNEL	1821 Sexually assault	DALIT	32385	2018-01-23 11:45
ADELAIDE	110 Disapprove, not specified below	AUSTRALIA	30540	2018-01-22 05:00
WEBSITE	040 Consult, not specified below	COMPANY	21405	2018-01-15 20:45
NEW DELHI	040 Consult, not specified below	ISRAEL	20670	2018-01-15 08:30
POLITICIAN	042 Make a visit	CITIZEN	26340	2018-01-19 07:00
AFRICA	042 Make a visit	ZIMBABWE	375	2018-01-01 06:15
FIREFIGHTER	190 Use conventional military force, not specified below	POLICE	4260	2018-01-03 23:00
PRAGUE	046 Engage in negotiation	THE EU	1455	2018-01-02 00:15
GOVERNOR	190 Use conventional military force, not specified below	JOURNALIST	12600	2018-01-09 18:00
SENATE	042 Make a visit	EGYPT	11100	2018-01-08 17:00
AFRICA	1043 Demand rights	AUSTRALIAN	7110	2018-01-05 22:30
CANADA	193 Fight with small arms and light weapons	POLICEMEN	24165	2018-01-17 18:45
AIRLINE	090 Investigate, not specified below	WEBSITE	31320	2018-01-22 18:00
AUSTRALIA	010 Make statement, not specified below	MANUS	26085	2018-01-19 02:45
PAKISTANI	010 Make statement, not specified below	SENATE	23430	2018-01-17 06:30
BANGLADESH	100 Demand, not specified below	LONDON	19050	2018-01-14 05:30
LAWMAKER	193 Fight with small arms and light weapons	UNITED STATES	5520	2018-01-04 20:00
RUSSIA	046 Engage in negotiation	UNITED STATES	32925	2018-01-23 20:45
COMBATANT	190 Use conventional military force, not specified below	SYRIA	13800	2018-01-10 14:00
MUMBAI	043 Host a visit	COMPANY	11880	2018-01-09 06:00
IROQUOIS	036 Express intent to meet or negotiate	COMMUNITY	14160	2018-01-10 20:00
WEST BANK	100 Demand, not specified below	LUTHERAN	5895	2018-01-05 02:15
NAVY	010 Make statement, not specified below	PAKISTAN	2910	2018-01-03 00:30
UNITED STATES	190 Use conventional military force, not specified below	UNIONS	11925	2018-01-09 06:45
MINIST	090 Investigate, not specified below	AFRICA	18810	2018-01-14 01:30
JUDGE	016 Deny responsibility	FRANCE	27165	2018-01-19 20:45
AFGHAN	020 Appeal, not specified below	TALIBAN	33495	2018-01-24 06:15
AMIT	043 Host a visit	STUDENT	26655	2018-01-19 12:15
GOVERNOR	190 Use conventional military force, not specified below	NIGERIA	21000	2018-01-15 14:00
PRIME MINISTER	040 Consult, not specified below	CHINESE	3630	2018-01-03 12:30
NEW DELHI	051 Praise or endorse	PUBLIC SECTOR	5505	2018-01-04 19:45
MINIST OF HEALTH	0214 Appeal for intelligence	NIGERIA	22530	2018-01-16 15:30
TOULOUSE	013 Make optimistic comment	LAWMAKER	25740	2018-01-18 21:00
SCHOOL	043 Host a visit	CANADA	23760	2018-01-17 12:00
ADMINISTRATION	010 Make statement, not specified below	NICARAGUAN	1260	2018-01-01 21:00
ORGANIZATION FOR SECURITY AND CO OPERATION IN EUROPE	0841 Return, release person(s)	AUTHORITIES	26970	2018-01-19 17:30
COMPANY	020 Appeal, not specified below	CHIEF EXECUTIVE	23040	2018-01-17 00:00
GOVERNMENT	032 Express intent to provide diplomatic cooperation such as policy support	LEBANESE	25005	2018-01-18 08:45
KYIV	1014 Demand intelligence cooperation	UKRAINE	12120	2018-01-09 10:00
SOUTH KOREA	0353 Express intent to release persons or property	CONGRESS	31080	2018-01-22 14:00
PRESIDENT	0331 Express intent to provide economic aid	IRAN	6870	2018-01-05 18:30
MIAMI	043 Host a visit	NATIVE AMERICAN	13890	2018-01-10 15:30
UNITED KINGDOM	071 Provide economic aid	THE EU	19470	2018-01-14 12:30
UNITED STATES	010 Make statement, not specified below	CHRISTIAN	75	2018-01-01 01:15
AFRICA	010 Make statement, not specified below	AMERICAN	26325	2018-01-19 06:45
PRESIDENT	020 Appeal, not specified below	ILLINOIS	15870	2018-01-12 00:30
MALAYSIA	173 Arrest, detain, or charge with legal action 	SINGAPORE	12030	2018-01-09 08:30
NIGERIA	051 Praise or endorse	GOVERNOR	24825	2018-01-18 05:45
ADVOCATE	111 Criticize or denounce 	ADMINISTRATION	18630	2018-01-13 22:30
PROFESSOR	010 Make statement, not specified below	NON RESIDENTS	9525	2018-01-07 14:45
AMBASSADOR	042 Make a visit	WASHINGTON	28335	2018-01-20 16:15
INTERNATIONAL CRIMINAL COURT	051 Praise or endorse	THE HAGUE	28545	2018-01-20 19:45
LOUISIANA	017 Engage in symbolic act	ARIANA	4440	2018-01-04 02:00
SWITZERLAND	042 Make a visit	VATICAN	23235	2018-01-17 03:15
HAITIAN	040 Consult, not specified below	HAITI	16110	2018-01-12 04:30
SOUTH KOREA	040 Consult, not specified below	NORTH KOREA	3825	2018-01-03 15:45
EL SALVADOR	193 Fight with small arms and light weapons	SPAIN	23340	2018-01-17 05:00
PRESIDENT	057 Sign formal agreement	THE WHITE HOUSE	24015	2018-01-17 16:15
IOWA	023 Appeal for aid, not specified below	SCHOOL	22770	2018-01-16 19:30
MAYOR	010 Make statement, not specified below	CANADA	33195	2018-01-24 01:15
UNITED STATES	013 Make optimistic comment	LAWMAKER	22800	2018-01-16 20:00
UNITED STATES	193 Fight with small arms and light weapons	TAIWAN	24315	2018-01-17 21:15
RWANDA	036 Express intent to meet or negotiate	CITIZEN	1515	2018-01-02 01:15
KADUNA	053 Rally support on behalf of	GOVERNOR	17205	2018-01-12 22:45
CHINESE	036 Express intent to meet or negotiate	BUSINESS	21450	2018-01-15 21:30
MEXICAN	060 Engage in material cooperation, not specified below	THE ASSOCIATED PRESS	2760	2018-01-02 22:00
UNITED STATES	112 Accuse, not specified below	SENATE	27060	2018-01-19 19:00
UKRAINE	042 Make a visit	JAPAN	17085	2018-01-12 20:45
ZAMBIA	145 Protest violently, riot	BROADCASTING CORP	16650	2018-01-12 13:30
UNITED STATES	018 Make empathetic comment	IMMIGRANT	12525	2018-01-09 16:45
MEDIA	172 Impose administrative sanctions, not specified below	CHINA	31920	2018-01-23 04:00
AUSTRALIA	190 Use conventional military force, not specified below	BRITISH	1230	2018-01-01 20:30
HAWAII	040 Consult, not specified below	GOVERNMENT	15990	2018-01-12 02:30
SAN FRANCISCO	193 Fight with small arms and light weapons	UNITED STATES	33315	2018-01-24 03:15
DAMASCUS	040 Consult, not specified below	CHRISTIAN	3825	2018-01-03 15:45
PEASANT	173 Arrest, detain, or charge with legal action 	BOLIVIA	15645	2018-01-11 20:45
SRINAGAR	111 Criticize or denounce 	MILITANT	12045	2018-01-09 08:45
PUNE	043 Host a visit	CHIEF MINISTER	31500	2018-01-22 21:00
MILITARY	170 Coerce, not specified below 	BANGLADESH	27900	2018-01-20 09:00
UNITED KINGDOM	020 Appeal, not specified below	STUDENT	26865	2018-01-19 15:45
SUFI	017 Engage in symbolic act	ABDUL QADIR	5280	2018-01-04 16:00
DEFENSE DEPARTMENT	013 Make optimistic comment	BUSINESS	32760	2018-01-23 18:00
ARMED FORCES	060 Engage in material cooperation, not specified below	COMBATANT	25275	2018-01-18 13:15
GREECE	173 Arrest, detain, or charge with legal action 	UNITED STATES	31560	2018-01-22 22:00
POLICE	173 Arrest, detain, or charge with legal action 	TALIBAN	32310	2018-01-23 10:30
UNITED STATES	010 Make statement, not specified below	SCHOOL	15270	2018-01-11 14:30
BUSINESS	010 Make statement, not specified below	UNITED STATES	6480	2018-01-05 12:00
FINLAND	013 Make optimistic comment	SPAIN	2790	2018-01-02 22:30
SAMSUNG	173 Arrest, detain, or charge with legal action 	PRISON	15870	2018-01-12 00:30
NEIGHBORHOOD	042 Make a visit	NEW ORLEANS	24075	2018-01-17 17:15
JUDGE	0231 Appeal for economic aid	TEXAS	15465	2018-01-11 17:45
SCHOOL	043 Host a visit	AFRICA	34155	2018-01-24 17:15
SCHOOL	043 Host a visit	UNITED STATES	27300	2018-01-19 23:00
DELEGATE	035 Express intent to yield, not specified below	UNITED STATES	8625	2018-01-06 23:45
RICHMOND	010 Make statement, not specified below	COMMUNITY	33015	2018-01-23 22:15
AFGHANISTAN	015 Acknowledge or claim responsibility	CIVILIAN	29505	2018-01-21 11:45
CORPORATION	040 Consult, not specified below	DUBAI	21240	2018-01-15 18:00
UNITED STATES	110 Disapprove, not specified below	AZERBAIJANI	30060	2018-01-21 21:00
BEIRUT	172 Impose administrative sanctions, not specified below	AUSTRALIA	21750	2018-01-16 02:30
NIGERIA	013 Make optimistic comment	VOTER	26955	2018-01-19 17:15
MILITARY	190 Use conventional military force, not specified below	VILLAGE	9135	2018-01-07 08:15
INTELLIGENCE	160 Reduce relations, not specified below	CRIMINAL	34110	2018-01-24 16:30
CANADA	0841 Return, release person(s)	UNIVERSITY	6555	2018-01-05 13:15
JUDGE	090 Investigate, not specified below	UNITED KINGDOM	3645	2018-01-03 12:45
PRESIDENT	013 Make optimistic comment	ISRAELI	30975	2018-01-22 12:15
EL SALVADOR	050 Engage in diplomatic cooperation, not specified below	GUATEMALA	32925	2018-01-23 20:45
LEGISLATOR	010 Make statement, not specified below	DEPUTY	21015	2018-01-15 14:15
CALIFORNIA	045 Mediate	UNIVERSITY	2490	2018-01-02 17:30
PAKISTAN	040 Consult, not specified below	PESHAWAR	13950	2018-01-10 16:30
BUSINESS	172 Impose administrative sanctions, not specified below	EUROPE	10485	2018-01-08 06:45
COMPANIES	020 Appeal, not specified below	ASYLUM SEEKER	2775	2018-01-02 22:15
UNITED KINGDOM	036 Express intent to meet or negotiate	BRITISH	33390	2018-01-24 04:30
ESTONIA	020 Appeal, not specified below	PROSECUTOR	10350	2018-01-08 04:30
PRESIDENT	190 Use conventional military force, not specified below	UTAH	2685	2018-01-02 20:45
UNITED STATES	010 Make statement, not specified below	POLICE	14610	2018-01-11 03:30
ITALY	050 Engage in diplomatic cooperation, not specified below	LIBYA	14430	2018-01-11 00:30
ADELAIDE	036 Express intent to meet or negotiate	CHINESE	23040	2018-01-17 00:00
POPULATION	010 Make statement, not specified below	SENATE	17445	2018-01-13 02:45
PRISON	180 Use unconventional violence, not specified below	DOCTOR	34215	2018-01-24 18:15
ECONOMIST	010 Make statement, not specified below	WALL STREET JOURNAL	23970	2018-01-17 15:30
KING	111 Criticize or denounce 	EL SALVADOR	21600	2018-01-16 00:00
THE UN	112 Accuse, not specified below	SYRIAN	12510	2018-01-09 16:30
JORDAN	042 Make a visit	UNITED STATES	2475	2018-01-02 17:15
COMPANIES	040 Consult, not specified below	SWITZERLAND	32175	2018-01-23 08:15
UNITED STATES	030 Express intent to cooperate, not specified below	GOVERNOR	27405	2018-01-20 00:45
BOSS	111 Criticize or denounce 	EMPLOYEE	9795	2018-01-07 19:15
GERMANY	042 Make a visit	INTELLECTUAL	13695	2018-01-10 12:15
HOSPITAL	060 Engage in material cooperation, not specified below	UNIVERSITY	15990	2018-01-12 02:30
DENVER	112 Accuse, not specified below	UNITED STATES	33090	2018-01-23 23:30
PRISON	120 Reject, not specified below	MILITARY	2925	2018-01-03 00:45
IRAN	057 Sign formal agreement	RUSSIA	27825	2018-01-20 07:45
UNITED KINGDOM	110 Disapprove, not specified below	GOVERNMENT	15240	2018-01-11 14:00
NIGERIA	051 Praise or endorse	SCHOOL	13140	2018-01-10 03:00
KENYA	042 Make a visit	AFRICA	6015	2018-01-05 04:15
SYRIA	195 Employ aerial weapons	ISLAMIC	33750	2018-01-24 10:30
POLICE	0332 Express intent to provide military aid	BANGLADESH	16470	2018-01-12 10:30
INDIANAPOLIS	190 Use conventional military force, not specified below	KING	19995	2018-01-14 21:15
UNITED KINGDOM	130 Threaten, not specified below	HOSPITAL	17520	2018-01-13 04:00
COLLEGE	051 Praise or endorse	SCHOOL	31785	2018-01-23 01:45
THE ASSOCIATED PRESS	036 Express intent to meet or negotiate	CALIFORNIA	20175	2018-01-15 00:15
BRITISH	111 Criticize or denounce 	EXTREMIST	17085	2018-01-12 20:45
IRAN	112 Accuse, not specified below	A US	15465	2018-01-11 17:45
MAYOR	051 Praise or endorse	MALAWI	9465	2018-01-07 13:45
WEBSITE	112 Accuse, not specified below	CANADIAN	22425	2018-01-16 13:45
UNITED STATES	013 Make optimistic comment	RESIDENTS	29880	2018-01-21 18:00
UNITED STATES	043 Host a visit	PENNSYLVANIA	22470	2018-01-16 14:30
UNITED STATES	015 Acknowledge or claim responsibility	FEDERAL COURT	16425	2018-01-12 09:45
AFGHANISTAN	182 Physically assault, not specified below	UNITED STATES	33630	2018-01-24 08:30
SCHOOL	042 Make a visit	POLE	23115	2018-01-17 01:15
TRANSPORT MINIST	010 Make statement, not specified below	MEDIA	12975	2018-01-10 00:15
ARCHBISHOP	043 Host a visit	PHILIPPINE	33810	2018-01-24 11:30
ILLINOIS	070 Provide aid, not specified below	IRAQ	4350	2018-01-04 00:30
PRESIDENT	042 Make a visit	JORDAN	31320	2018-01-22 18:00
CARRIER	036 Express intent to meet or negotiate	HAVANA	19170	2018-01-14 07:30
PUERTO RICO	070 Provide aid, not specified below	DELAWARE	4245	2018-01-03 22:45
NORTH KOREA	010 Make statement, not specified below	NEWSPAPER	19575	2018-01-14 14:15
DISTRICT COURT	015 Acknowledge or claim responsibility	UNITED STATES	25920	2018-01-19 00:00
FLORIDA	130 Threaten, not specified below	HAITI	34410	2018-01-24 21:30
AFRICA	046 Engage in negotiation	EUROPE	8985	2018-01-07 05:45
DUTCH	057 Sign formal agreement	MAYOR	24075	2018-01-17 17:15
TELECOM	071 Provide economic aid	AUSTRIA	13965	2018-01-10 16:45
UNITED STATES	110 Disapprove, not specified below	JUDGE	14880	2018-01-11 08:00
UNITED STATES	010 Make statement, not specified below	COMPANY	5235	2018-01-04 15:15
NEPAL	010 Make statement, not specified below	THE US	4290	2018-01-03 23:30
POLICE	036 Express intent to meet or negotiate	HOUSE OF REPRESENTATIVES	15120	2018-01-11 12:00
UNITED KINGDOM	060 Engage in material cooperation, not specified below	MINIST	28125	2018-01-20 12:45
IRAN	111 Criticize or denounce 	CANADA	14010	2018-01-10 17:30
CHINA	050 Engage in diplomatic cooperation, not specified below	HUN SEN	14340	2018-01-10 23:00
KING	110 Disapprove, not specified below	POLICE	20490	2018-01-15 05:30
MEDIA	010 Make statement, not specified below	PROFESSOR	25920	2018-01-19 00:00
EUROPEAN	110 Disapprove, not specified below	SPOKESMAN	31050	2018-01-22 13:30
JUDICIARY	012 Make pessimistic comment	MEDIA	19275	2018-01-14 09:15
GOVERNMENT	030 Express intent to cooperate, not specified below	WORLD BANK	7995	2018-01-06 13:15
SWISS	042 Make a visit	DAVOS	29775	2018-01-21 16:15
CHINA	018 Make empathetic comment	PRESIDENT	20370	2018-01-15 03:30
MAHMOUD ABBAS	040 Consult, not specified below	DUTCH	15840	2018-01-12 00:00
UNITED STATES	190 Use conventional military force, not specified below	NURSE	20550	2018-01-15 06:30
ADMINISTRATION	010 Make statement, not specified below	DEPARTMENT OF AGRICULTURE	2700	2018-01-02 21:00
COMMUNITY	020 Appeal, not specified below	UNITED STATES	31305	2018-01-22 17:45
IOWA	173 Arrest, detain, or charge with legal action 	POLICE	15870	2018-01-12 00:30
CHENGDU	043 Host a visit	MERCHANT	26325	2018-01-19 06:45
UNITED ARAB EMIRATES	173 Arrest, detain, or charge with legal action 	QATARI	19875	2018-01-14 19:15
WASHINGTON	043 Host a visit	CHINA	13200	2018-01-10 04:00
WEBSITE	010 Make statement, not specified below	SWITZERLAND	27180	2018-01-19 21:00
JUDICIARY	173 Arrest, detain, or charge with legal action 	DEALER	33405	2018-01-24 04:45
MILITANT	190 Use conventional military force, not specified below	NIGER	3345	2018-01-03 07:45
THESSALONIKI	112 Accuse, not specified below	POLITICIAN	4080	2018-01-03 20:00
BRITON	042 Make a visit	MONTEGO BAY	28725	2018-01-20 22:45
UNITED STATES	046 Engage in negotiation	SENATOR	27120	2018-01-19 20:00
CITIZEN	022 Appeal for diplomatic cooperation, such as policy support	CRIMINAL	17910	2018-01-13 10:30
HYUNDAI	110 Disapprove, not specified below	SEOUL	16245	2018-01-12 06:45
SECURITIES AND EXCHANGE COMMISSION	040 Consult, not specified below	NEWS ORGANIZATION	22965	2018-01-16 22:45
POLICE	173 Arrest, detain, or charge with legal action 	MUJAHIDEEN	33810	2018-01-24 11:30
KERALA	010 Make statement, not specified below	CONGRESS	32010	2018-01-23 05:30
SENATOR	020 Appeal, not specified below	VOTER	29175	2018-01-21 06:15
ITALY	036 Express intent to meet or negotiate	MEDIA	7530	2018-01-06 05:30
GALICIAN	112 Accuse, not specified below	HIGH COURT	2250	2018-01-02 13:30
LORRAINE	190 Use conventional military force, not specified below	UNITED KINGDOM	6855	2018-01-05 18:15
PALESTINIAN	020 Appeal, not specified below	ISRAELI	26040	2018-01-19 02:00
GOVERNMENT	0311 Express intent to cooperate economically	INVESTOR	29070	2018-01-21 04:30
RUSSIA	010 Make statement, not specified below	TURKISH	33105	2018-01-23 23:45
UNITED STATES	110 Disapprove, not specified below	HAITI	20085	2018-01-14 22:45
BANGLADESH	080 Yield, not specified below 	MUSLIM	2400	2018-01-02 16:00
CARRIER	036 Express intent to meet or negotiate	SINGAPORE	6105	2018-01-05 05:45
OPPOSITION LEADER	141 Demonstrate or rally	POLICE	3810	2018-01-03 15:30
SAMSUNG	042 Make a visit	PROSECUTOR	11805	2018-01-09 04:45
SCHOOL	057 Sign formal agreement	IMMIGRANT	33000	2018-01-23 22:00
ISRAEL	051 Praise or endorse	PALESTINE	27360	2018-01-20 00:00
CHIEF MINISTER	010 Make statement, not specified below	BANK	16395	2018-01-12 09:15
INVESTOR	010 Make statement, not specified below	MALAYSIA	16215	2018-01-12 06:15
ISRAEL	173 Arrest, detain, or charge with legal action 	WEST BANK	16950	2018-01-12 18:30
ASSUR	020 Appeal, not specified below	CITIZEN	24690	2018-01-18 03:30
SOUTH KOREAN	050 Engage in diplomatic cooperation, not specified below	NORTH KOREA	2295	2018-01-02 14:15
EGYPT	015 Acknowledge or claim responsibility	ATTORNEY	25980	2018-01-19 01:00
UNITED STATES	023 Appeal for aid, not specified below	RUSSIA	7230	2018-01-06 00:30
FRANCE	043 Host a visit	EGYPTIAN	29145	2018-01-21 05:45
TURKISH	010 Make statement, not specified below	RECEP TAYYIP ERDOGAN	20715	2018-01-15 09:15
PROSECUTING ATTORNEY	173 Arrest, detain, or charge with legal action 	POLICE	16575	2018-01-12 12:15
CHINA	042 Make a visit	CAMBODIA	16605	2018-01-12 12:45
BELIEVER	042 Make a visit	CHINA	20370	2018-01-15 03:30
PRESIDENT	164 Halt negotiations	UNITED STATES	32520	2018-01-23 14:00
MINNESOTA	051 Praise or endorse	UNITED STATES	4155	2018-01-03 21:15
SCHOOL	014 Consider policy option	RESIDENTS	24930	2018-01-18 07:30
SECRETARY OF STATE	080 Yield, not specified below 	ISLAMIC	6675	2018-01-05 15:15
UNITED STATES	090 Investigate, not specified below	GOVERNOR	23505	2018-01-17 07:45
CHINA	055 Apologize	DELTA AIR LINES	16410	2018-01-12 09:30
MILITARY	084 Return, release, not specified below	THE US	17445	2018-01-13 02:45
ATLANTA	046 Engage in negotiation	UNITED STATES	14550	2018-01-11 02:30
CALIFORNIA	190 Use conventional military force, not specified below	RESIDENTS	27510	2018-01-20 02:30
ADMINISTRATION	080 Yield, not specified below 	FLORIDA	13395	2018-01-10 07:15
CORPORATION	031 Express intent to engage in material cooperation,  not specified below	UNITED STATES	12390	2018-01-09 14:30
AMERICAN	195 Employ aerial weapons	TALIBAN	5610	2018-01-04 21:30
SYRIA	057 Sign formal agreement	ANKARA	1890	2018-01-02 07:30
GHANAIAN	018 Make empathetic comment	ASANTE	31575	2018-01-22 22:15
AFRICA	090 Investigate, not specified below	JOURNALIST	9405	2018-01-07 12:45
INDUSTRY	010 Make statement, not specified below	AFRICA	22515	2018-01-16 15:15
GOOGLE	011 Decline comment	PUBLICATION	23070	2018-01-17 00:30
JAPANESE	042 Make a visit	ESTONIA	17100	2018-01-12 21:00
GOVERNMENT	020 Appeal, not specified below	NIGERIA	24525	2018-01-18 00:45
KENYA	013 Make optimistic comment	MINISTRY	5775	2018-01-05 00:15
POLICE	040 Consult, not specified below	UNITED STATES	12810	2018-01-09 21:30
VOTER	014 Consider policy option	SCHOOL	32865	2018-01-23 19:45
CUBA	043 Host a visit	EUROPEAN	12750	2018-01-09 20:30
PHILIPPINE	112 Accuse, not specified below	SINGAPORE	30465	2018-01-22 03:45
MICHELLE BACHELET	056 Forgive	MAPUCHE	20505	2018-01-15 05:45
WORKER	010 Make statement, not specified below	MEDIA	11055	2018-01-08 16:15
MELBOURNE	070 Provide aid, not specified below	AUSTRALIA	26205	2018-01-19 04:45
MINIST	190 Use conventional military force, not specified below	POLICE OFFICER	13680	2018-01-10 12:00
STUDENT	110 Disapprove, not specified below	MALAYSIA	29985	2018-01-21 19:45
LITHUANIA	051 Praise or endorse	DENMARK	22290	2018-01-16 11:30
FRANCE	130 Threaten, not specified below	IRAN	10410	2018-01-08 05:30
UNITED STATES	043 Host a visit	DISNEY	5940	2018-01-05 03:00
UNITED STATES	043 Host a visit	LONDON	6600	2018-01-05 14:00
AMERICAN	180 Use unconventional violence, not specified below	HILLARY CLINTON	4050	2018-01-03 19:30
WORLD BANK	020 Appeal, not specified below	CAIRO	20805	2018-01-15 10:45
ABDULLAH	040 Consult, not specified below	EGYPT	8415	2018-01-06 20:15
LAWMAKER	042 Make a visit	PHILIPPINE	30885	2018-01-22 10:45
MINIST	051 Praise or endorse	ENVIRONMENT MINIST	20445	2018-01-15 04:45
USAID	071 Provide economic aid	ECUADOR	4530	2018-01-04 03:30
COMPANY	090 Investigate, not specified below	TENANTS	34080	2018-01-24 16:00
DRAVIDIAN	020 Appeal, not specified below	CHIEF MINISTER	29310	2018-01-21 08:30
YEMENI	010 Make statement, not specified below	MINIST	14775	2018-01-11 06:15
POLICE	173 Arrest, detain, or charge with legal action 	UGANDA	28530	2018-01-20 19:30
ISRAEL	193 Fight with small arms and light weapons	JEWISH	15735	2018-01-11 22:15
SPANISH	010 Make statement, not specified below	CATALONIA	30735	2018-01-22 08:15
UNITED STATES	194 Fight with artillery and tanks	SAUDI ARABIAN	3735	2018-01-03 14:15
CHINA	0831 Accede to demands for change in leadership	MALE	24195	2018-01-17 19:15
MEDIA	180 Use unconventional violence, not specified below	DOCTOR	23955	2018-01-17 15:15
PREMIER	084 Return, release, not specified below	NORTH AMERICA	13860	2018-01-10 15:00
DEPUTIES	046 Engage in negotiation	UNITED STATES	14130	2018-01-10 19:30
PRESIDENT	020 Appeal, not specified below	COLLEGE	7395	2018-01-06 03:15
IRAN	025 Appeal to yield	TURKEY	30840	2018-01-22 10:00
UNITED ARAB EMIRATES	090 Investigate, not specified below	COMPANIES	30735	2018-01-22 08:15
CANADA	010 Make statement, not specified below	MEXICO	30300	2018-01-22 01:00
HONDURAN	020 Appeal, not specified below	SALVADORAN	27120	2018-01-19 20:00
CAIRO	128 Defy norms, law	EGYPT	8550	2018-01-06 22:30
WORLD ECONOMIC FORUM	036 Express intent to meet or negotiate	EMMERSON MNANGAGWA	33495	2018-01-24 06:15
SINGAPORE	036 Express intent to meet or negotiate	DAEGU	16170	2018-01-12 05:30
GOOGLE	016 Deny responsibility	MEDIA	22830	2018-01-16 20:30
